domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
ruanoosthuizen.co.za,Ruan Oosthuizen | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-23T15:24:14.370667523Z,"['Alternate Protocol', 'Amazon S3 CDN', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
maximusperks.co.za,Maximus Perks | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-22T17:25:06.56533393Z,"['Alternate Protocol', 'Amazon S3 CDN', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
cicielejonker.co.za,Ciciele Jonker | attooh! Your Wealth Solution,,AUS,77,23960,2026-01-22T08:35:52.731600111Z,"['Alternate Protocol', 'Amazon S3 CDN', 'Authorize.net', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
singularityfinancial.org,Smart Financial Planning & Investments | rebel Financial,rebel Financial,USA,77,75413,2026-01-22T00:16:43.429887858Z,"['AWS WAF Challenge', 'Advisory Board', 'Ajax Search Lite', 'Alternate Protocol', 'Altruist', 'Apache', 'App Store', 'Apture Linking Platform', 'Complianz', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Eventbrite', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'GZIP Module', 'Gambling Content', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Gravity Forms', 'Hello Elementor', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Follow Button', 'LinkedIn Insights', 'LinkedIn Pixel', 'Metronet Profile Picture', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'PHP', 'Prospective', 'Rackspace CDN', 'ScheduleOnce', 'Table Addons for Elementor', 'Taxdome', 'Testimonial', 'Twitter Ads', 'UTF-8', 'University or College', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'eMoney', 'jQuery']"
reneswanepoel.co.za,René Swanepoel | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-21T12:00:32.156632142Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
astraeawealth.com,Astraea Wealth Management,,USA,77,39812,2026-01-19T20:29:18.481584613Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Amazon CloudFront', 'Aruba', 'Baidu Cloud', 'CDN JS', 'Calendly', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Gravity', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'NFOrce Internet', 'OpenResty', 'Perl', 'Twitter Ads', 'UTF-8', 'University or College', 'eLand', 'eMoney', 'jQuery', 'reCAPTCHA']"
dorettevandermerwe.co.za,Dorette van der Merwe | attooh! Your Wealth Solution,,AUS,77,23960,2026-01-18T00:35:40.207257294Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
shanicepillay.co.za,Shanice J Pillay | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-15T21:46:37.313826291Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
earhartfinancialgroup.com,Olive Branch | Financial Adivsor | Earhart Financial Group,,,62,19884,2026-01-15T04:17:55.74854152Z,"['Amazon CloudFront', 'CloudFront', 'Duda', 'Financial Industry Regulatory Authority', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Nginx', 'QUIC', 'Thank You', 'Twitter Ads', 'UTF-8', 'eMoney']"
marisaerasmus.co.za,Marisa Erasmus | attooh! Your Wealth Solution,,AUS,77,23960,2026-01-08T07:20:31.363355003Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
